registry_id,air_program,pgm_sys_acrnm,pgm_sys_ids,pollutant_name,unit_of_measure, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018,nei_type,nei_hap_voc_flag
"110000468921","GHG","GHG","1009068","Carbon dioxide","MTCO2e",,244837.4,266760.8,278739.3,270652.4,268214.1,275544.3,280529.5,256324.1,294280.4,"",""
"110000468921","GHG","GHG","1009068","Methane","MTCO2e",,1014.75,777.25,1966.25,1950.25,1925.75,2257.5,3621,2475.25,1391.75,"",""
"110000468921","GHG","GHG","1009068","Nitrous oxide","MTCO2e",,533.42,500.64,695.83,721.756,1270.672,1257.262,1408.944,1161.902,1144.022,"",""
"110000468921","NEI","NEI","5067411","2,2,4-Trimethylpentane","Pounds",,,,,,,,,53,,"HAP","HAP-VOC"
"110000468921","NEI","NEI","5067411","Ammonia","Pounds",,,198719.232,,,234815.8,,,13373.52,,"CAP",""
"110000468921","NEI","NEI","5067411","Benzene","Pounds",,,4546,,,1347.6,,,1427.6,,"HAP","VOC"
"110000468921","NEI","NEI","5067411","Carbon monoxide","Pounds",,,295085.64,,,239526.6,,,470254.92,,"CAP",""
"110000468921","NEI","NEI","5067411","Cyanide","Pounds",,,,,,,,,58186,,"HAP",""
"110000468921","NEI","NEI","5067411","Ethylbenzene","Pounds",,,223,,,440,,,15.6,,"HAP","VOC"
"110000468921","NEI","NEI","5067411","Formaldehyde","Pounds",,,,,,,,,2426.269,,"HAP","VOC"
"110000468921","NEI","NEI","5067411","Hexane","Pounds",,,19667,,,20025,,,4940.6,,"HAP","VOC"
"110000468921","NEI","NEI","5067411","Hydrofluoric acid","Pounds",,,1221,,,3165,,,3220,,"HAP",""
"110000468921","NEI","NEI","5067411","Hydrogen sulfide","Pounds",,,,,,495,,,5,,"OTH",""
"110000468921","NEI","NEI","5067411","Lead","Pounds",,,1.074,,,1,,,1.855195,,"CAP",""
"110000468921","NEI","NEI","5067411","Mercury","Pounds",,,6.33,,,1.53,,,1.41,,"HAP",""
"110000468921","NEI","NEI","5067411","Naphthalene","Pounds",,,19,,,12,,,12.28,,"HAP","VOC"
"110000468921","NEI","NEI","5067411","Nitrogen oxides","Pounds",,,391529.22,,,184610,,,230306.32,,"CAP",""
"110000468921","NEI","NEI","5067411","Primary PM condensible portion,  less than 1 micron","Pounds",,,26885.24,,,58880.116,,,24024.361,,"CAP",""
"110000468921","NEI","NEI","5067411","Primary PM10 (filterables and condensibles)","Pounds",,,110202.168,,,151218.8,,,50289.57,,"CAP",""
"110000468921","NEI","NEI","5067411","Primary PM10, filterable portion only","Pounds",,,83316.952,,,92338.68,,,18879.84,,"CAP",""
