registry_id,air_program,pgm_sys_acrnm,pgm_sys_ids,pollutant_name,unit_of_measure, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016,nei_type,nei_hap_voc_flag
"110042022085","NEI","NEI","7341211,8236411","Ammonia","Pounds",,3716,,,2906.74,,,3508.2,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Anthracene","Pounds",,,,,,,,.00112585,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Antimony","Pounds",,,,,,,,1,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Arsenic","Pounds",,,,,,,,4,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Benz[a]anthracene","Pounds",,,,,1.143208,,,.00101327,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Cadmium","Pounds",,,,,,,,2,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Carbon monoxide","Pounds",,4043132,,,2329505.106,,,2486448.6,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Chromium(III)","Pounds",,,,,,,,46.86,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Chromium(VI)","Pounds",,,,,,,,24.14,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Chrysene","Pounds",,.881454,,,,,,.000206406,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Cresol","Pounds",,,,,,,,250,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Cyanide","Pounds",,,,,848,,,,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Fluoranthene","Pounds",,,,,,,,.00459723,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Fluorene","Pounds",,,,,,,,.0176571,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Hydrochloric acid","Pounds",,,,,,,,3537,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Lead","Pounds",,.258,,,408.322,,,1143,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Manganese","Pounds",,,,,,,,48,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Mercury","Pounds",,,,,6.06,,,19,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Nickel","Pounds",,,,,,,,19,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Nitrogen oxides","Pounds",,9691692,,,7116284.554,,,8399265.6,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Phenanthrene","Pounds",,,,,,,,.0177884,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Primary PM condensible portion,  less than 1 micron","Pounds",,1727931.4557176,,,11423.0778,,,311.96414,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Primary PM10 (filterables and condensibles)","Pounds",,5829390.68,,,1446821.27,,,2065818.4,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Primary PM10, filterable portion only","Pounds",,4101449.369228,,,1435399.0842,,,2065506.4358,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Primary PM2.5 (filterables and condensibles)","Pounds",,2719760.8956436,,,262572.274,,,546765.6,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Primary PM2.5, filterable portion only","Pounds",,991828.7405226,,,251149.0882,,,546453.6358,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Pyrene","Pounds",,,,,,,,.00288968,,,"HAP","HAP-VOC"
"110042022085","NEI","NEI","7341211,8236411","Selenium","Pounds",,,,,,,,61,,,"HAP",""
"110042022085","NEI","NEI","7341211,8236411","Sulfur dioxide","Pounds",,5564,,,7554.042,,,3987.2,,,"CAP",""
"110042022085","NEI","NEI","7341211,8236411","Volatile organic compounds","Pounds",,892544,,,407393.23,,,427404.4,,,"CAP",""
"110042022085","TRI","TRI","84006KNNCT8200S","Barium compounds -- TRI ","Pounds",,,,,,,1,,,,"",""
"110042022085","TRI","TRI","84006KNNCT8200S","Cyanide compounds","Pounds",7800,880,880,879,848,848,868,,,,"",""
"110042022085","TRI","TRI","84006KNNCT8200S","Lead compounds","Pounds",.0091,.0049,.0049,.0045,.00113,.0011,0,0,,,"",""
"110042022085","TRI","TRI","84006KNNCT8200S","Mercury compounds","Pounds",.0015,.00078,6.0608,6.06072,6.06018,6.06018,0,0,,,"",""
