registry_id,air_program,pgm_sys_acrnm,pgm_sys_ids,pollutant_name,unit_of_measure, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018,nei_type,nei_hap_voc_flag
"110000469243","GHG","GHG","1006039","Carbon dioxide","MTCO2e",,531634.1,540618,535844.7,476938.9,611494.7,504585.8,592850.2,610409,573847.8,"",""
"110000469243","GHG","GHG","1006039","Methane","MTCO2e",,1860.75,1755,1888.5,1797.75,1137,1034.75,1188.75,1041.25,957,"",""
"110000469243","GHG","GHG","1006039","Nitrous oxide","MTCO2e",,486.634,526.566,1068.032,911.88,1214.35,993.234,1212.86,1132.102,1121.076,"",""
"110000469243","NEI","NEI","7558611","1,1,2,2-Tetrachloroethane","Pounds",,,.814676,,,.768124,,,.660980477,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","1,3-Butadiene","Pounds",,,430,,,187,,,34.356704,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","2,2,4-Trimethylpentane","Pounds",,,,,,,,,7781.655878,,"HAP","HAP-VOC"
"110000469243","NEI","NEI","7558611","Acetaldehyde","Pounds",,,195.26518,,,221.54158,,,531.547982,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Acrolein","Pounds",,,99.48958,,,101.73996,,,260.096308,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Ammonia","Pounds",,,8042.494,,,7542.6,,,6697.423768,,"CAP",""
"110000469243","NEI","NEI","7558611","Anthracene","Pounds",,,1,,,1,,,,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Arsenic","Pounds",,,.0664556,,,.0814285,,,2.69525656,,"HAP",""
"110000469243","NEI","NEI","7558611","Benzene","Pounds",,,4100,,,829,,,6598.574487,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Beryllium","Pounds",,,0,,,,,,1.2427854,,"HAP",""
"110000469243","NEI","NEI","7558611","Biphenyl","Pounds",,,18,,,45,,,73.37136654,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Cadmium","Pounds",,,.3655048,,,.447663,,,11.64496606,,"HAP",""
"110000469243","NEI","NEI","7558611","Carbon disulfide","Pounds",,,41,,,9,,,9,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Carbon monoxide","Pounds",,,643593.712,,,554070.6,,,510134.2118,,"CAP",""
"110000469243","NEI","NEI","7558611","Carbonyl sulfide","Pounds",,,55,,,55,,,55.0072,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Chromium(III)","Pounds",,,.4465818,,,.547032,,,33.87318107,,"HAP",""
"110000469243","NEI","NEI","7558611","Chromium(VI)","Pounds",,,.01860756,,,.0228123,,,2.286984628,,"HAP",""
"110000469243","NEI","NEI","7558611","Cobalt","Pounds",,,.02791136,,,.0341798,,,8.894963368,,"HAP",""
"110000469243","NEI","NEI","7558611","Cumene","Pounds",,,6,,,17,,,2002.913118,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Cyanide","Pounds",,,,,,3500,,,17822,,"HAP",""
"110000469243","NEI","NEI","7558611","Ethylbenzene","Pounds",,,680,,,950,,,1124.585639,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Ethylene glycol","Pounds",,,,,,,,,441.6,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Formaldehyde","Pounds",,,2783.21062,,,3069.95442,,,6279.01767,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Hexane","Pounds",,,18600,,,17300,,,10835.39902,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Hydrochloric acid","Pounds",,,,,,15969.6,,,20582.328,,"HAP",""
"110000469243","NEI","NEI","7558611","Hydrogen cyanide","Pounds",,,,,,,,,17821.6,,"HAP",""
"110000469243","NEI","NEI","7558611","Hydrogen sulfide","Pounds",,,,,,13300,,,13159,,"OTH",""
"110000469243","NEI","NEI","7558611","Lead","Pounds",,,8.12,,,68,,,68.7118828,,"CAP",""
"110000469243","NEI","NEI","7558611","Manganese","Pounds",,,5,,,.15466,,,338.1034065,,"HAP",""
"110000469243","NEI","NEI","7558611","Mercury","Pounds",,,33,,,33,,,33.00768618,,"HAP",""
"110000469243","NEI","NEI","7558611","Methanol","Pounds",,,468,,,362,,,415,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Methylene chloride","Pounds",,,1.326664,,,1.250828,,,1.076353466,,"HAP","EXEMPT-NONPHOTOCHEM"
"110000469243","NEI","NEI","7558611","Naphthalene","Pounds",,,107,,,196,,,22.7023422,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Nickel","Pounds",,,.697784,,,.854728,,,576.0548348,,"HAP",""
"110000469243","NEI","NEI","7558611","Nitrogen oxides","Pounds",,,767452.066,,,716154,,,626536.5194,,"CAP",""
"110000469243","NEI","NEI","7558611","Phenanthrene","Pounds",,,17,,,29,,,,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Polychlorinated biphenyls","Pounds",,,,,,,,,.0001138,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Polycyclic aromatic hydrocarbons","Pounds",,,,,,12,,,24.83042078,,"HAP","HAP-VOC"
"110000469243","NEI","NEI","7558611","Primary PM condensible portion,  less than 1 micron","Pounds",,,90150.398,,,126857.048,,,148972.56054,,"CAP",""
"110000469243","NEI","NEI","7558611","Primary PM10 (filterables and condensibles)","Pounds",,,252145.288,,,280679.4,,,320643.9902,,"CAP",""
"110000469243","NEI","NEI","7558611","Primary PM10, filterable portion only","Pounds",,,161994.868,,,153822.352,,,171672.24724,,"CAP",""
"110000469243","NEI","NEI","7558611","Primary PM2.5 (filterables and condensibles)","Pounds",,,140276.302,,,178223,,,199323.60116,,"CAP",""
"110000469243","NEI","NEI","7558611","Primary PM2.5, filterable portion only","Pounds",,,50058.682,,,51365.952,,,50351.83818,,"CAP",""
"110000469243","NEI","NEI","7558611","Selenium","Pounds",,,0,,,,,,52.65356406,,"HAP",""
"110000469243","NEI","NEI","7558611","Sulfur dioxide","Pounds",,,1590616.134,,,1416508.8,,,998929.0788,,"CAP",""
"110000469243","NEI","NEI","7558611","Toluene","Pounds",,,9000,,,11100,,,24393.76582,,"HAP","VOC"
"110000469243","NEI","NEI","7558611","Volatile organic compounds","Pounds",,,537897.444,,,500724.4,,,461536.9332,,"CAP","VOC"
"110000469243","NEI","NEI","7558611","Xylene","Pounds",,,2900,,,10900,,,9689.778897,,"HAP","VOC"
"110000469243","TRI","TRI","84103MCLCM474WE","1,2,4-Trimethylbenzene","Pounds",1100,1020,930,1490,2090,1800,1170,1920,2094,1520,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","1,3-Butadiene","Pounds",569,203,430,424,640,187,121,181,137,95,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Ammonia","Pounds",1390,1883,32561,35192,34269,40274,33165,17200,18166,18377,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Anthracene","Pounds",1,1,1,1,2,2,2,2,2,1,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Benzene","Pounds",5200,5200,4100,4700,7300,4000,3300,5100,6199,4621,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Benzo[ghi]perylene","Pounds",0,0,0,0,0,0,0,0,.1,0,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Biphenyl","Pounds",45,23,18,40,39,45,29,30,35,33,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Carbon disulfide","Pounds",40,40,41,41,7,9,6,8,9,7,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Carbonyl sulfide","Pounds",54,54,55,55,56,55,47,55,55,56,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Cobalt compounds","Pounds",,,,,,,,6,,,"",""
"110000469243","TRI","TRI","84103MCLCM474WE","Cumene","Pounds",7,11,6,9,13,17,861,2200,2351,1498,"",""
