ModelYear,VOC exhaust,VOC evaporation,CO,NOx,SO2,PM10 exhaust,PM10 OC,PM10 BC,PM10 Sulfate
1990,1.0151,0.5358,14.8991,2.2045,0.0503,0.0355,0.0277,0.0075,0.00030
1991,1.0441,0.5087,14.2734,2.3290,0.0401,0.0279,0.0217,0.0060,0.00024
1992,1.0034,0.4935,13.6901,2.2612,0.0395,0.0263,0.0204,0.0056,0.00023
1993,0.9623,0.4812,13.1883,2.2047,0.0371,0.0250,0.0195,0.0053,0.00022
1994,0.8464,0.4656,10.6804,1.9368,0.0359,0.0206,0.0160,0.0043,0.00021
1995,0.8116,0.4225,10.1368,1.8394,0.0340,0.0170,0.0132,0.0036,0.00020
1996,0.5950,0.1435,6.9986,1.2153,0.0329,0.0146,0.0113,0.0031,0.00020
1997,0.5601,0.1408,6.6299,1.1468,0.0309,0.0137,0.0106,0.0029,0.00018
1998,0.4765,0.0817,6.3217,1.0902,0.0297,0.0121,0.0094,0.0025,0.00018
1999,0.4005,0.0666,6.0580,1.0430,0.0287,0.0101,0.0078,0.0021,0.00017
2000,0.3664,0.0683,5.9614,1.0271,0.0253,0.0103,0.0080,0.0021,0.00015
2001,0.2096,0.0710,5.2897,0.6300,0.0224,0.0088,0.0068,0.0018,0.00013
2002,0.1932,0.0728,4.9832,0.5610,0.0189,0.0077,0.0060,0.0016,0.00011
2003,0.1796,0.0746,4.8139,0.4914,0.0153,0.0075,0.0058,0.0016,0.00009
2004,0.1634,0.0629,4.4445,0.2524,0.0115,0.0077,0.0060,0.0016,0.00007
2005,0.1570,0.0646,4.2325,0.1984,0.0090,0.0077,0.0060,0.0016,0.00005
2006,0.1213,0.0663,3.1571,0.1877,0.0078,0.0077,0.0060,0.0016,0.00005
2007,0.1155,0.0669,2.9546,0.1515,0.0068,0.0077,0.0060,0.0016,0.00004
2008,0.1129,0.0721,2.9184,0.1405,0.0060,0.0077,0.0060,0.0016,0.00004
2009,0.1095,0.0601,2.8868,0.1300,0.0056,0.0077,0.0060,0.0016,0.00003
2010,0.1084,0.0617,2.8656,0.1205,0.0055,0.0077,0.0060,0.0016,0.00003
2011,0.1082,0.0633,2.8638,0.1203,0.0055,0.0076,0.0060,0.0016,0.00003
2012,0.1094,0.0652,2.8625,0.1201,0.0049,0.0076,0.0060,0.0016,0.00003
2013,0.1100,0.0638,2.8639,0.1202,0.0048,0.0076,0.0060,0.0016,0.00003
2014,0.1096,0.0628,2.8648,0.1202,0.0047,0.0076,0.0060,0.0016,0.00003
2015,0.1086,0.0611,2.8652,0.1202,0.0044,0.0076,0.0060,0.0016,0.00003
2016,0.1069,0.0610,2.8647,0.1202,0.0042,0.0076,0.0060,0.0016,0.00002
2017,0.1086,0.0610,2.8633,0.1201,0.0042,0.0076,0.0060,0.0016,0.00002
16
2018,0.1078,0.0604,2.8611,0.1200,0.0042,0.0076,0.0060,0.0016,0.00002
2019,0.1074,0.0598,2.8582,0.1199,0.0042,0.0076,0.0060,0.0016,0.00002
2020,0.1065,0.0593,2.8547,0.1198,0.0042,0.0076,0.0060,0.0016,0.00002