ModelYear,PM10 TBW,PM2.5 exhaust,PM2.5 OC,PM2.5 BC,PM2.5 Sulfate,PM2.5 TBW,CH4,N2O
1990,0.0179,0.0327,0.0255,0.0069,0.00028,0.0046,0.0666,0.0475
1991,0.0179,0.0257,0.0200,0.0055,0.00022,0.0046,0.0658,0.0473
1992,0.0179,0.0242,0.0188,0.0052,0.00022,0.0046,0.0642,0.0465
1993,0.0179,0.0230,0.0179,0.0049,0.00020,0.0046,0.0628,0.0458
1994,0.0179,0.0190,0.0148,0.0040,0.00020,0.0046,0.0495,0.0382
1995,0.0179,0.0157,0.0122,0.0033,0.00019,0.0046,0.0332,0.0308
1996,0.0179,0.0134,0.0104,0.0028,0.00018,0.0046,0.0251,0.0267
1997,0.0179,0.0126,0.0098,0.0026,0.00017,0.0046,0.0241,0.0261
1998,0.0179,0.0112,0.0087,0.0023,0.00016,0.0046,0.0227,0.0241
1999,0.0179,0.0093,0.0072,0.0020,0.00016,0.0046,0.0177,0.0209
2000,0.0179,0.0095,0.0074,0.0020,0.00014,0.0046,0.0155,0.0173
2001,0.0179,0.0081,0.0063,0.0017,0.00012,0.0046,0.0137,0.0069
2002,0.0179,0.0071,0.0055,0.0015,0.00010,0.0046,0.0130,0.0068
2003,0.0179,0.0069,0.0054,0.0015,0.00008,0.0046,0.0131,0.0068
2004,0.0179,0.0071,0.0055,0.0015,0.00006,0.0046,0.0138,0.0068
2005,0.0179,0.0071,0.0055,0.0015,0.00005,0.0046,0.0139,0.0068
2006,0.0179,0.0071,0.0055,0.0015,0.00004,0.0046,0.0105,0.0068
2007,0.0179,0.0071,0.0055,0.0015,0.00004,0.0046,0.0104,0.0068
2008,0.0179,0.0071,0.0055,0.0015,0.00003,0.0046,0.0102,0.0068
2009,0.0180,0.0071,0.0055,0.0015,0.00003,0.0046,0.0107,0.0067
2010,0.0180,0.0071,0.0055,0.0015,0.00003,0.0046,0.0106,0.0067
2011,0.0180,0.0070,0.0055,0.0015,0.00003,0.0046,0.0121,0.0044
2012,0.0180,0.0070,0.0055,0.0015,0.00003,0.0046,0.0110,0.0044
2013,0.0180,0.0070,0.0055,0.0015,0.00003,0.0046,0.0112,0.0044
17
2014,0.0180,0.0070,0.0055,0.0015,0.00003,0.0046,0.0112,0.0044
2015,0.0180,0.0070,0.0055,0.0015,0.00002,0.0046,0.0117,0.0044
2016,0.0180,0.0070,0.0055,0.0015,0.00002,0.0046,0.0127,0.0044
2017,0.0180,0.0070,0.0055,0.0015,0.00002,0.0046,0.0107,0.0044
2018,0.0180,0.0070,0.0055,0.0015,0.00002,0.0046,0.0111,0.0044
2019,0.0180,0.0070,0.0055,0.0015,0.00002,0.0046,0.0111,0.0044
2020,0.0180,0.0070,0.0055,0.0015,0.00002,0.0046,0.0116,0.0043
